n2710db;とんでもスキルで異世界放浪メシ
1177354054922823111;地味な子が可愛くなりモテ出したので、俺は距離を取りたい。〜そんなの、許さないよ？〜
16816700428257474361;転生？先がダメ王子　【長編版】
1177354054889195020;うちのお嬢様が破滅エンドしかない悪役令嬢のようなので俺が救済したいと思います。
1177354054921465768;乙女ゲーの攻略対象に転生したけど、ヒロインに攻略される必要はないよね？
1177354054893429050;悪役令嬢は『萌え』を浴びるほど摂取したい！
1177354054890676415;【完結】10年ぶりに再会した幼馴染が、デレデレに懐いてきます
1177354054935807696;幼なじみの妹と、身体の関係になってしまった。
1177354055050310955;WEB版　黒狼王と白銀の贄姫【3巻5/25発売/重版決定&コミカライズ連載中】
1177354055020298341;悪役令嬢として婚約破棄された私は、大貴族で幼馴染の先輩に助けられて辺境で溺愛される
1177354054886888376;誰に対してもクールを貫く美人な生徒会長ですが、皆に不良だと誤解されている彼の前ではいっぱい甘えたいデレデレになる……までのお話
16816927861926145480;精霊魔法が使えない無能だと婚約破棄されたので、義妹の奴隷になるより追放を選びました
16816927863356796443;《書籍化》稀代の悪女、三度目の人生で【無才無能】を楽しむ
16817330650993330082;『聖女じゃない方』の私の異世界冒険は『勇者じゃない方』の君と一緒！　～あれ、私達って本当に『じゃない方』？～
16817139555198012133;姉に悪評を立てられましたが、何故か隣国の大公に溺愛されています～自分らしく生きることがモットーです～
1177354054917462491;そうだ、王子辞めよう！〜婚約破棄（する側！？）から始まる転職活動　（自称）無能な王子は廃嫡を望む〜
1177354054905053188;声しか知らない嫁さんと本当に付き合ってしまう
1177354054908247955;幼なじみとセックスごっこを始めて、１０年がたった。
1177354054884047197;わたしの知らない、先輩の100コのこと
1177354054894668842;ただ、隣に住んでいる女の同僚と毎晩、ご飯を食べる話（旧版）
1177354054895270157;幼い頃から幼馴染に構いまくった結果 〜デレデレになった幼馴染をこれでもかと甘やかします〜
1177354055439105955;学校一の美少女であり幼なじみでもある彼女が実はヤンデレだということを僕だけが知っている。
1177354054984532126;わたしの幸せな結婚【番外編】
1177354054891101410;■璃寛皇国 ひきこもり瑞兆妃伝■ 〜日々後宮を抜け出し、有能官吏やってます。〜（Web版）
16816452220782092292;壊れた俺に差し伸べたのは、君の手だけだった。
16817139556964100589;聖女様に婚約者を奪われたので、魔法史博物館に引きこもります。
1177354054889530725;傷心公爵令嬢レイラの逃避行
16817139558159798871;婚約者はこの世界のヒロインで、どうやら僕は悪役で追放される運命らしい
1177354054894491770;乙女ゲーのモブですらないんだが
16817139557602664666;貧乏旗本の三男坊に嫁いできてくれた元聖女の嫁が可愛すぎるので……。
1177354054885096675;乙女ゲームの世界で私が悪役令嬢！？そんなのお断りです！
16816452218654720240;地味偽装する俺だけど、思ってたのと違う。彼女たちは意外と勘がいい。
1177354054886449878;攻略対象の影薄い姉になったけど、モブってなにしたらいいの？
16817330653016897466;【書籍化決定！】ただの村人の僕が、三百年前の暴君皇子に転生してしまいました～このままでは強引に妃にする予定の冷酷侯爵令嬢に暗殺される運命なので回避するために奮闘したら、すごく溺愛されました～
16816700429512843169;【書籍化8/1発売】婚約破棄され捨てられるらしいので、軍人令嬢はじめます
1177354054898053452;王妃になる予定でしたが、偽聖女の汚名を着せられたので逃亡したら、皇太子に溺愛されました。そちらもどうぞお幸せに。
1177354054890285667;聖女をクビになったら、なぜか幼女化して魔王のペットになりました。
1177354054921972880;過去に戻れたので、いじめで自殺した幼なじみを助けて溺愛します
16816700428157048409;【Web版】妹に婚約者を取られたら見知らぬ公爵様に求婚されました
16816452220295883531;可愛いコンビニバイトJKを助けたら、なぜか俺の部屋に差入れを持ってくるようになった。
16816452219976055343;【3/10書籍2巻発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方
1177354054921479343;浮気していた彼女と別れたけど、反省の色が濃すぎて思わず許してしまいそう
1177354054892283089;あなたがいたから
16816700429464223352;恋愛感情を捨てた少年〜付き合っていた彼女達に裏切られたのでもういいです〜【本編完結済み】
1177354054890631020;拝啓『氷の騎士とはずれ姫』だったすぐわたしたちへ
16816927862951082123;彼女の秘密を知った僕は、逃亡を謀った。
1177354054884634028;猫被り妹と愚兄の日常
1177354054897906845;幼馴染に彼氏が出来てからクラスのギャルが迫ってくる。
16816452220064445522;目覚めると私を慕うロリっ娘が、超絶タイプな大人の女性になっていました
1177354054893374158;悪役令嬢の執事様 破滅フラグは俺が潰させていただきます
16817139557693162703;天使の生まれ変わりである妹に婚約者を奪われました ～婚約者には捨てられましたが王太子様が追いかけてきます～
1177354054916166602;陰キャぼっちですが、俺の彼女は可愛すぎる。
16816700427615633588;幼馴染で恋人の彼女は、僕を見ていない。
16817330649554581933;ブラック労働が原因で黒の聖女と呼ばれた私は王宮から追放されました！　～聖女の仕事と公爵を奪った妹が、耐えられないと弱音を吐いてももう遅い。私は他国でスローライフを満喫しながら幸せに過ごします～
16817330650595083978;【カクヨムコン8受賞】はらぺこ令嬢、れべるあっぷ食堂はじめました～奉公先を追い出されましたが、うっかり抜いた包丁が聖剣でした！？～
1177354054897643759;セクシャルウーマナイザー
16816927862702896627;マインド・スワップ
1177354054886056414;桜子さまは儚くない
16817330658563198861; 冤罪で大切な人達に傷付けられた少年、無実の罪だと分かった後に謝られても絶対に許さない
1177354054891554618;知らない間に彼女がいることになっていた
16816700425947311457;婚約者に浮気され、婚約破棄するしかなかった僕の話
16816452219049442247;悪役令嬢に転生しましたが、やる気ゼロです
1177354054894499422;悪役令嬢は『萌え』を蕩けるほど堪能したい！
16817330659725070020;サレタ男の門出と、シタ女の遅すぎる後悔
16816700427609067328; 好きだった幼馴染と可愛がってた後輩に裏切られたので、晴れて女性不信になりました
1177354054895053038;君を好きになるなんて絶対にありえない！
1177354054897005085;ぬりかべ令嬢、介護要員として嫁いだ先で幸せになる。
16816700427389934128;最愛の幼馴染みと親友に裏切られた俺を救ってくれたのはもう一人の幼馴染みだった
16816700428074353533;堕ちたカノ女　〜別れた後の僕と幼馴染と姉の顚末〜【完結済】
1177354054888641614;ものぐさ悪役令嬢は頑張らない
1177354054921645233;ネトゲの夫の中身がクラスのイケメンとか聞いていない
1177354054886983971;私の推しは悪役令嬢。
1177354054939772387;公爵の長男に転生したけど、職業スキルがスライム従魔師だったので、王太女との婚約を破棄され追放されてしまった。
16816700429542045027;本編完結！【★NTR幼馴染はやり直したい】らしいけど既にフォロワー100万人の彼女がいるのでゴメンね
16817330654826845015;学校の空き教室へ仕掛けた防犯カメラにマズい映像が映っていた
16816927863032184711;僕はこの目で嘘をつく
16817330653287455519;二番目な僕と一番の彼女【書籍化決定しました】
1177354054893209045;【WEB版】君との軌跡
1177354054892933006;【Web版】乙女ゲームのヒロインは婚約破棄を阻止したい
1177354054881815371;公爵さまは女がお嫌い！
16816700428586912646;魔物をペット化する能力が目覚めたので、騎士団でスローライフします
16816452221242913711;【書籍化】金貨一枚貸したら辺境伯様に捕まりました。金貨一枚でお邸に住めるなんておかしくないですか？
16816452219646441513;暴力系幼馴染を“ざまぁ“して十年──。『剣聖』で『騎士団長』にまで上り詰めた彼女はもう一度、農民の俺に許しを乞いに来た。……俺はお前を、絶対に許さない。
16816700426593017233;【IFルート連載開始】偶然助けた女の子が俺が激推ししている大人気バーチャル配信者だった
1177354054886705922;【☆番外編☆】VRMMOで鈍感な主人公に恋するむっつりスケベな彼女は現役JKアイドルだった！？
16816700427430222083;【WEB版】広報部出身の悪役令嬢ですが、無表情な王子が「君を手放したくない」と言い出しました
16816452220756807097;男女比の狂った世界は今以上にモテるようです
1177354054934288913;雨の中いじめられているところを助けたら、学校一の美少女に懐かれました。
1177354054884629205;炭酸水と犬
16816452218864364332;婚約破棄ですか…いいでしょう！！　おい国王！　聞いていましたね！　契約通り自由にさせてもらいます！！
16817139556510359926;弟の策略により命を落とした不器用な冷害王子は、最後まで祈りを捧げてくれた、婚約破棄した不器用な侯爵令嬢のために二度目の人生で奮闘した結果、賢王になりました
16816452218468121279;国を追い出されたら隣国の皇帝にお持ち帰りされました
16816927860534149503;勤労令嬢、街へ行く〜令嬢なのに下働きさせられていた私を養女にしてくれた侯爵様が溺愛してくれるので、国いちばんのレディを目指します〜
16817139557519509664;性悪天才幼馴染との勝負に負けて初体験を全部奪われる話
1177354054892780256;彼女に２度告白した僕。けれど３度目はどうも無くしてしまったようだ
1177354054890650736;【本編完結後の番外編】悪役令嬢は推し未亡人!? 転生したので婚約者の運命を改変します！
1177354054894762327;万引き犯の罪をなすり付けられた女性を助けたら、学校の美少女でした。
16816700426006141043;《本編完結済み・番外編不定期更新中》望乃ちゃんはインキャ吸血鬼
16816700428274463267;元カノの娘と付き合う
16817330654188843832;【本編完結】生意気な義妹がいじめで引きこもりになったので優しくしたら激甘ブラコン化した話
1177354055028723592;【番外編】わたしの処女をもらってもらったその後。【書籍発売中&コミカライズ連載中】
16816700429320685464;●悪役令嬢に転生したのだが、病弱すぎだなんて聞いてない
16817139554912849288;【書籍化・コミカライズ決定】誰にも愛されなかった醜穢令嬢が幸せになるまで〜嫁ぎ先は暴虐公爵と聞いていたのですが、実は優しく誠実なお方で気がつくと溺愛されていました〜
1177354054881144025;妻を殺してもバレない確率
16817139557778180003;義母、幼馴染み、親友の女の子…僕を愛してくれた女性は皆、僕を裏切っていき…僕は壊れ続け…いつか報われるのだろうか…
16816927859520667787;無能だとクビになったメイドですが、今は王宮で筆頭メイドをしています
16816700428011910540;猫ノ山寧々子はネコになる
16816700426085270181;出会いが最悪でも好きになれば問題ないですよね？
1177354054886141041;わたくし、恋愛結婚がしたいんです。
1177354054935934083;●婚約破棄された公爵令嬢、日本へ嫁ぐ
1177354055006319022;【書籍化】銀狼は花の乙女に癒され、まどろむ　～身代わり侍女は冷酷皇帝の抱き枕～【WEB版】
16816452220453312822;淑女の鑑やめました。時を逆行した公爵令嬢は、わがままな妹に振り回されないよう性格悪く生き延びます！
1177354055371563263;好きな子の幸せを願って身を引いたのに、学園一のイケメンモテ男を振った彼女が俺を追ってきたのだが
16817330658411347815;【完結】物作りを頑張っている婚約者にベタ惚れしてしまったので、応援していたらなぜか爵位が上がっていきます
16817330655223719411;追放された聖女のお話～私はもう貴方達のことは護りません～
1177354054904588237;ヒロイン剥奪！　～オープニングで悪役令嬢を落としたらストーリーから蹴りだされました～
1177354054886429539;ずっとずっと追いかけてきた男の子の幼馴染〜その彼と両片思いだった！？〜
16816452218415392594;侯爵令嬢は婚約破棄される前に婚約破棄する
1177354054919288428;顔だけ良いクラスメイトが、やたらとグイグイ来る百合の話。
16817330659841270825;冤罪で家族全員から見捨てられた俺は…　　[祝60万PV突破!！]
1177354054888809773;悪役腐令嬢様とお呼び！
16817330648474123609;【書籍1巻8/10発売】家族に売られた薬草聖女のもふもふスローライフ（旧タイトル：家族に売られた令嬢は、化け物公爵の元で溺愛されて幸せです）
16817330647491485520;婚活で追い詰められた貧乏令嬢、酔った勢いで神獣騎士と知らないまま婚約を持ちかけた結果、溺愛がはじまりました!?
16817139558361938645;生きる気力を無くした同級生を幸せにして『生きてて良かった』と言わせたい
16817139558612808217;政略より愛を選んだ結婚。後悔は十年後にやってきた
1177354054917796884;【書籍発売中】子づくり結婚！　～公爵令息はちょっぴりツンな新妻を溺愛したい～
16817139558094280249;【書籍化】追放聖女のどろんこ農園生活　〜いつのまにか隣国を救ってしまいました〜
16817330647920755984;【書籍化＆コミカライズ】生贄として捨てられたので、辺境伯家に自分を売ります　〜いつの間にか聖女と呼ばれ、溺愛されていました〜
1177354054893136368;もう一人のルイーゼ　～嫌われたいの　番外編～
16816452219288774780;【恋愛日間ランキング2位獲得感謝】隣に住む天使様は学校では優等生のお嬢様。だけど本性を知ってしまってから彼女は俺に付き纏うようになりました。
16817139555364588255;寝取られた元カノ？、知らない許嫁、陽キャな幼馴染も皆要らない。俺の望みは平穏な高校生活だ！
1177354054891873852;難攻不落の風紀委員長を落としたい
16816452219493935814;ゾネ
16817330656929077299;断罪された商才令嬢は隣国を満喫中 〜王国に戻って欲しいと言われましても、私を追い出したのはあなた達ですよ？〜
16817330656285068745;最初の彼女は寝取られて、次に付き合った彼女にはセフレが居て、不運な俺だったけど物静かで優しい女の子と仲良くなった
16816700428795128942;誇り高い義妹が悪役令嬢呼ばわりされて国外追放となった、俺が黙っているとでも思ったのか、糞王太子。
1177354054922824596;伯爵令嬢はケダモノよりもケモミミがお好き
1177354054921588981;熱が冷めたら残るのは醜い何か
1177354054893424740;ヒロインに悪役令嬢呼ばわりされた聖女は、婚約破棄を喜ぶ　～婚約破棄後の人生、貴方に出会えて幸せです！～
1177354054894813276;他人行儀になった幼馴染美少女と何故か一緒に住むことになった件
16816452219372720272;婚約｢解消｣ではなく｢破棄｣ですか？
16817139557475984620;旦那様、そろそろ離婚しませんか？【コミカライズ配信中】
16817330656946013360;学園の姫を助けたつもりが病んだ双子の妹に責任を取らされるはめになった
16816410413968492462;【完結】彼女が魔女だって？　要らないなら僕が大切に愛するよ
1177354054887618539;自営業である【お花屋カフェ】を手伝う彼を、幼き頃から想い続けていた彼女は “男性に免疫のない” 女子高校生になってしまいました……。
1177354054895428899;モブ令嬢の旦那様は主人公のライバルにもなれない当て馬だった件
16817139556434842146;売られた令嬢
1177354054888221189;アパートたまゆら【部分公開】
16816452218559176345;一番仲の悪い女子が俺の前の座席になった件
1177354054893257707;花宮さんと同棲！（仮）
16816452218772027091;壊れた彼と彼女達
1177354054884543861;【7月25日２巻発売！】呪われた龍にくちづけを　第一幕　～特別手当の内容がこんなコトなんて聞いてません！～【WEB版】
16817330651360901317;【カクコン8受賞】婚約破棄と同時に大聖女の証を奪われた『氷の公爵令嬢』は、魔狼騎士に拾われ甘やかに溶かされる
16817330647817516481;王宮を追放された聖女ですが、実は本物の悪女は妹だと気づいてももう遅い　私は価値を認めてくれる公爵と幸せになります
1177354054885229177;彼女が魔女に着替える時
1177354054888740167;どうも、好きな人に惚れ薬を依頼された魔女です。
1177354054892370564;前世聖女は手を抜きたい　よきよき
1177354054904490835;前世読んでいた恋愛マンガの中にいると高校卒業式の日に気づいたので、負けヒロインを幸せにしようと思う。
16816700426482539156;転生して魔女になりました、森で拾ったワケアリ令息がイケメン過ぎて困ってます
1177354054917228949;幼馴染みに振られて日々を無気力に過ごしていた俺は、気付けば学校の巨乳な美少女たちにモテモテになっていました
1177354054890033578;虐げられた侯爵夫人は逃亡を決意しました〜破滅しようが知りません〜
16816700427179152732;ツンデレ美少女はよく吠える
1177354054896985270;あんたのせいで私のエリートが台無しなんだが
16817330659888503084;最愛なる君へ
16816452221343076240;憧れだった女の子と入れ替わった結果、なぜか求婚された件
16816700425926372413;聖女様を家に入れたら一緒に生活することになりました。
1177354054891964762;きみが明日も生きてくれますように。
16816452219785899794;【書籍発売中】魔力なしの落ちこぼれ令嬢ですが、国一番の魔法使いに求婚されたら溺愛新婚生活が始まりました
1177354055223258696;大聖女は天に召されて、パン屋の義娘になりました。
16817139554527591061;「君の代わりはいくらでもいる」と言われたので、聖女をやめました。それで国が大変なことになっているようですが、私には関係ありません。
16816452221293516358;婚約破棄された崖っぷち令嬢は、帝国の皇弟殿下と結ばれる【書籍化&コミカライズ】
16817330650119360808;顔は平凡な婚約者なのに、浮気はするのかよ！
4852201425154996674;雪華後宮記～宮女試験とユーレイ公主～
1177354054894208131;強制的に悪役令嬢にされていたのでまずはおかゆを食べようと思います。
16816452218489051552;道産子令嬢は雪かき中　〜ヒロインに構っている暇がありません〜
16816700428320770678;【8/4コミックスタート】後宮灼姫伝　～妹の身代わりをしていたら、いつの間にか皇帝や将軍に寵愛されています～【3巻今秋発売！】
16816452221496601933;あの日、幼稚園児を助けたけど、歳の差があり過ぎてその子が俺の運命の人になるなんて気付くはずがない。
1177354054891429639;幼馴染は美少女だけど付き合いたくない！
16817330652736121837;幼馴染彼女に裏切られた。
16816452219719674555;君がいるから呼吸ができる
1177354054883264027;追放されたのに、今さら聖女なんてお断りです！
16816927860190166339;【完結】冤罪で婚約破棄された公爵令嬢は隣国へと逃亡しました〜あんな国に戻るなんて絶対に嫌！新しい国で幸せな生活を送ります〜
16817330656478196929;割り切ってしまう男、割り切れなかった男、流された女、失ってから気付く物とは？
4852201425154921203;異世界トリップしたその場で食べられちゃいました
16817330652871023591;「時間がかかりすぎ」だと使用人をクビにされましたが、クビにした伯爵家は崩壊がはじまりました〜公爵家の使用人任務では丁寧だと褒められます〜
16816700429141858865;俺の知らない幼なじみが、知らないうちに彼女になっていた件
16816700427140739653;成人式の日、幼馴染が婚約したことを知る。
16817330654645021875;洗脳された妻に嫌われても俺は愛し続けた。だけど耐えられなくなった俺、妻が洗脳から解かれた時には……
1177354054897339578;婚約破棄、国外追放しておいて、今さら戻ってきてほしいとはなんですか？　〜今さら戻るつもりなどない私は、逆婚約破棄をして隣国で溺愛される〜
16816927863115667839;婚約者が浮気相手と駆け落ちしました。色々とありましたが幸せになったので、今さら戻りたいと言われても困ります。
16817139556080208996;美少女に楽曲を提供して幸せにする話
1177354054934509890;芋くさ令嬢ですが悪役令息を助けたら気に入られました
1177354054882327147;デルモンテ王は後宮に占い師をご所望です
16817330649809408152;僕の瞳に月が滲んだ
1177354054889466403;好きをこじらせて
1177354055598271702;そんなに妹が好きなら死んであげます。
1177354054889747717;ライバル令嬢に転生したので悪役令嬢を救いたい
1177354054897136435;ご落胤じゃありませんから！
1177354054898560749;『部活』をやめて陰キャボッチになった俺になんでか学校でかわいい美少女たちが話しかけてくるのだが
16817139558164870696;すれ違って、トラウマを抱えてそれでも…
1177354054893200533;幼馴染にフラれたら、もう一人の幼馴染が〇〇してくれた。
16816927859207654922;［1分読書］彼女を寝取られたので仕返しします・・・
1177354054892578986;悪役令嬢はスローライフをエンジョイしたい！
1177354054896062956;【Web版】竜帝さまの専属薬師（試し読み）
16816452219430489098;【4巻2/20発売】婚約破棄された替え玉令嬢、初恋の年上王子に溺愛される【コミック2/1発売】
16817139556005884160;【書籍化・コミカライズ】ド田舎の迫害令嬢は王都のエリート騎士に溺愛される
16816927862125805778;グラブジャムンな関係
16817330652685743628;ゲロ吐き聖女と覚悟ガンギマリ魔王
16816452219941305896;幼なじみと子作りを始めた。
1177354054886565271;花街の用心棒【 雪解け桜に想いを乗せて】
1177354054882229765;この世界で、君と二度目の恋をする
1177354055324489792;働く私と彼女の同棲
1177354054900655973;【完結】聖女と結婚ですか？　どうぞご自由に　〜婚約破棄後の私は魔王の溺愛を受ける〜
16816452219455298237;転生先が気弱すぎる伯爵夫人だった～前世最強魔女は快適生活を送りたい～
16817139558311061391;婚約破棄されて、過去を思い出しました。僧侶になります！
1177354054918597508;断罪される理由はありません、まずは貴方の行動を振り返りましょう《6話完結》
16817330656161015249;【完結】婚約者を守ろうとしたら寧ろ盾にされました。腹が立ったので記憶を失ったふりをして婚約解消を目指します。
16817330654918171272;【完結】破天荒な妖精姫は醜い夫を切望する
1177354054895956808;空より遠くて愛せない
16816700427749978936;隣の席のクーデレな幼馴染は、絶対に俺にデレることはない
1177354054883311781;ルクトニア領百花繚乱円舞曲
1177354054884923587;もう一度人生をやり直したとしても、私は君を好きになると思うよ。
1177354054919349872;高1の時に小学校でふたり話した顔の知らない女子小学生と6年後再会する話
16816452219236956797;武姫の後宮物語
16817330656464558235;ボーイッシュな学園の王子様（♀）助けたら懐かれたのか、彼女は俺の家ではやたらと無防備
16816452219273263990;料理ができないので学校一の美少女に養われることになりました
1177354054897753983;追放悪役令嬢の旦那様【web版】
1177354054893046203;婚約破棄ですか。それでは真実の愛（笑）とやらを貫いていただきましょう。
1177354054896714186;中学から好きだった彼女とようやく恋人になったのに寝取られた俺…を救ったのは彼女の姉
1177354054888587025;呪われた龍にくちづけを　第三幕　～急にせまられるなんて聞いてません！～
16817139558571920622;副官ラウルの多忙なる嫁とり　『隣国で婚約破棄された娘を嫁に貰ったのだが、可愛すぎてどうしよう』番外編
16817330659505075095;再婚して義弟に騙されていく大切な家族達、誰も信じてくれなかったからもう遅い。
16816700426054941889;義妹が俺と付き合うためにありとあらゆる手段をとってくるんだが
16816700428058019896;むすび葉の恋
16816927862244793075;彼女に浮気をされて別れ告げられた～俺が以前から別れを告げずにいられなかったのを彼女は知らない～
16816452220076271851;【Web版】黒幕令嬢なんて心外だわ！　素っ頓狂な親友令嬢も初恋の君も私の手のうち　⇒（旧題）素っ頓狂な私の親友、ホントに手が掛かるんですけど
16816700429146389370;【1月25日書籍発売】鈴の蕾は龍に抱かれ花ひらく　～迷子宮女と美貌の宦官の後宮事件帳～【WEB版】
16817330652037231029;無能と言われて家を追い出されましたが、凄腕錬金術師だとバレて侯爵様に拾われました
16817330656473125282;【完結】後悔していると言われても・・・ねえ？今さらですよ？
16816452218256237472;婚約者の地位？　そんなものは天才な妹に譲りますので私は平民として自由に生きていきます
16816927862693549924;猫かぶり令嬢アリアの攻防
16816927860315326893;殿下、私よりも妹を選ぶというのならそれで良いですが、もちろん呪いも一緒に引き取ってくれますよね？
16817330648549476554;盗んだだけでは、どうにもならない～婚約破棄された私は、新天地で幸せになる～
16816700426830814673;【3巻8/10発売！】悪役令嬢と悪役令息が、出逢って恋に落ちたなら ～名無しの精霊と契約して追い出された令嬢は、今日も令息と競い合っているようです～【コミック2巻同日発売！】
16816452219206763636;妹と不貞を働いた婚約者に婚約破棄を言い渡したら泣いて止めてくれと懇願された。…え？　何でもする？　なら婚約破棄いたしましょう
1177354054894979101;白日《snow blind》──傷付けられた少年と傷付けた少女──
16816927861673145740;僕の彼女は静かで優しい女の子だった
1177354055059692587;訳あり令嬢はプロポーズと溺愛から逃げ出したい！！
16817330652590695936;三番目に仲がいい友達と偽カップルになったらめちゃくちゃグイグイきます
4852201425154922583;【書籍化】平安時代にタイムスリップしたら紫式部になってしまったようです
16816452219360444443;VRMMOで付き合っている彼女が1年前に別れたヤンデレ美少女元カノだった
1177354054881287663;彼を陥落させるゲーム
16817330654445977087;末っ子皇女は幸せな結婚がお望みです！
1177354054896430562;破滅したくない悪役令嬢によって、攻略対象の王子様とくっつけられそうです
1177354054893546447;幼馴染の初恋は月の女神の祝福の下に
1177354054936922294;俺の進路希望調査票に何故か幼馴染の名前がある
16816927860008548520;大魔法使いは、人生をやり直す～婚約破棄されなかった未来は最悪だったので、今度は婚約破棄を受け入れて生きてみます～
1177354054884784153;月の白さを知りてまどろむ
1177354054895742796;底辺魔術師な私ですが、英雄になった愛弟子に迫られて陥落しそうです…
1177354054890976764;悪役令嬢リーゼロッテ・ベルヘウムは死亡しました
16816700426128303918;恋人があこがれの人でしかも自分のファンだったなんてそんなことあるんですか！？
16816927861810399501;クズチャラ男に幼馴染な恋人を寝取られたけどクズさで僕に勝てると思ってるの？
16817330655600819724;ピンクになりたかった
16816700429069431751;アラサーリーマンの俺が保証人として借金を肩代わりしたら美人姉妹と家族になった
1177354054934893968;前世薬師の悪役令嬢は、周りから愛されるようです　～調薬スキルで領地を豊かにしようと思います～
16817330649790698661;人気者の彼女を私に依存させる話
1177354054883687307;シュークリーム　～あなたに響く百合短編集～
1177354054893496588;高嶺の花と放課後
16816452219964144651;婚約破棄されましたが、あなたのあてにしている商会の会長は私ですよ！！
16816700427001474237;ブラック企業に飼い殺しにされた『負け組』の俺が三姉妹お嬢様の家庭教師になって人生大逆転する
16817139558790969373;先輩どういうつもりですか（６９話からいよいよ第三章に入ります）
1177354054917306070;微熱の糸が灼きついてほどけないので
1177354054894675815;【電子書籍化】初恋の男性に、お飾りの妻として買われました
16816927860308575370;冷たい彼女の落とし方
16817139555975197655;呪われた女でも愛してくれますか？～ブサイクと虐められた伯爵令嬢が姉の身代わりに嫁がされて公爵に溺愛されるようです～
16817139558537014728;姉の元カノに脅されている。
16817330657080195437;義母に家を追放されたら幼馴染に戻った元義妹に迫られる～『家族じゃないんだから、本気を出してもいいわよね？』じゃないんだよ・・・
1177354055228661292;彼女が先輩にＮＴＲれたので、先輩の彼女をＮＴＲます
1177354054935284889;コンビニ強盗から助けた地味店員が、同じクラスのうぶで可愛いギャルだった
16817330653190478232;学校の屋上から飛び降りようとしている美少女に「どうせ死ぬなら最後に俺の童貞をもらってくれ」と言ってみたらOKされた。
1177354054918394784;１０年ぶりに再会したクソガキは清純美少女JKに成長していた
16816927861984466906;僕は幼馴染に裏切られた。俺はもう自分を偽らない。
16817330647736836399;大学で一番かわいい先輩を助けたら呑み友達になった話　～酔った先輩は俺への「すき」が止まらない～
1177354054884043614;何故か学校一の美少女が休み時間の度に、ぼっちの俺に話しかけてくるんだが？
1177354054921004562;【書籍版タイトル】『実は同じ職場にあなたを好きな人がいます』　～転勤先は美女だけの営業所！？
16816700426011043454;勇者パーティーをクビになったので故郷に帰ろうとしたら、パーティーメンバー全員がついてきたんだが～追いかけてきたみんなと始める結婚スローライフ～
16816700427909435194;迷子の女の子を家まで届けたら、玄関から出て来たのは学年一の美少女でした
16817139557268309534;異世界でマッサージ屋を始めたけど、リピーターの肩こりの原因がどう考えてもおっぱいです
16817330649941556887;【カクヨムコン8 特別賞＆CW賞受賞】他校の氷姫を痴漢から助けたら、お友達から始める事になりました
1177354054921974753;後ろの席のぎゃるに好かれてしまった。もう俺は駄目かもしれない。
16816700426030025715;追放された無能魔法使い～吸収の魔法で嫁たちと共に世界を無双する～
16816927862808081967;俺を殺そうとしている暗殺者に「童貞のままじゃ死ねないから、俺の初めての人になってくれ」と提案してみた
16817330648136687460;人数合わせで合コンに参加した俺は、なぜか余り物になってた元人気アイドルで国宝級の美少女をお持ち帰りしました。【書籍化・コミカライズ化決定！！！】
16816452219406966365;親友の妹を官能小説のモデルに使っているんだけど、どうやらいつも感想を書いてくれているのが本人みたいなんだが
1177354054890799392;コイビト・スワップ
16816452219035013242;ぼっちの俺がゲームスキルで大人気配信者になった件
16817139557830560241;ヤンデレメインのラブコメゲームに転生したと思ったらヤバい子が妹になってしまった件
1177354054887463032;お隣さんと始める節約生活。電気代のために一緒の部屋で過ごしませんか？
16817139555727595375;【６月７日発売！】ポンコツ扱いされて仕事をクビになったら会社は立ち行かなくなり元カノが詰んだ
16816452218829949652;妹はカノジョにできないのに（旧題『15歳JC妹（略）』）
16817330650915761117;美人だから浮気しても許されると思ってる王子様系の彼女に、いきなり別れようと言ったらどうなるか検証してみた。
16817330652677973473;大学入学時から噂されていた美少女三姉妹、生き別れていた義妹だった。
1177354054887274351;幼馴染が引きこもり美少女なので、放課後は彼女の部屋で過ごしている（が、恋人ではない！）
16816927863016182682;エロゲのヒロインをかばって死ぬ幼馴染キャラに転生したのでヒロインを甘々に育てようと思う
1177354054917771281;シェアハウスで再会した元カノが迫ってくる【WEB版】
16816927861284971326;【Web版】無口な小日向さんは、なぜか俺の胸に頭突きする
1177354054883073884;多分僕が勇者だけど彼女が怖いから黙っていようと思う
16816700428651839050;年下幼なじみ♂が実は美少女だった件～婚約者に浮気され独り身の俺、昔弟のように可愛がっていた子と同棲する。今更女の子だったと気づいても遅い。世話焼きJKに知らぬ間にダメ人間にされてたので…
16817139555575713515;陰キャ幼馴染に振られた負けヒロインは俺がいる限り絶対に勝つ！
1177354054884293503;【ＷＥＢ版】年上エリート女騎士が僕の前でだけ可愛い
16816700427830927619;推しに熱愛疑惑出たから会社休んだ
16817330648008853769;学生時代、家庭教師のバイトで面倒をみていた教え子らがいつの間にか出世しすぎていた。
16817330658633218471;やらかしていた男子ぼちぼち頑張る。
1177354054893246268;俺のお嫁さん、変態かもしれない （旧題：幼馴染と送る甘々新婚生活！）
16816700425973734166;英雄に幼馴染を寝取られたが、物語の完璧美少女メインヒロインに溺愛されてしまった自称脇役の青年の恋愛事情
16816452218689030051;俺の好きな子に告白した友人の様子がなんだかおかしい。
16816927862149325966;幼馴染がVtuberになった、何故か配信の度に俺がトレンドに上がるようになった。
16817139555202466108;貞操逆転世界なのに思ってたのとちがう？
